Exchange,Currency1,Currency2,Stock1,Stock2
Uniswap,UNI,ETH,2322648,19742.0
Uniswap,USDC,ETH,154238628,69293.0
Uniswap,ETH,USDT,65879,146554407.0
Uniswap,USDC,USDT,36573471,36443417.0
SushiSwap,UNI,ETH,89020,756.4
SushiSwap,USDC,ETH,166200000,74710.0
SushiSwap,ETH,USDT,61850,137600000.0
SushiSwap,USDC,USDT,1100,1122.0
